行政區,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,總計,月平均
松山區,77,109,118,111,112,124,97,92,102,109,97,164,1312,109.33333333333333
信義區,148,161,158,123,129,151,123,104,143,123,164,143,1670,139.16666666666666
大安區,175,161,160,142,148,170,165,161,161,160,183,235,2021,168.41666666666666
中山區,139,134,159,145,124,148,112,137,132,143,148,165,1686,140.5
中正區,69,105,81,76,81,81,87,74,83,91,79,151,1058,88.16666666666667
大同區,77,94,76,87,66,86,85,73,81,54,81,98,958,79.83333333333333
萬華區,126,114,103,105,127,118,82,93,87,111,118,149,1333,111.08333333333333
文山區,133,150,164,148,125,169,131,133,163,145,173,214,1848,154.0
南港區,67,77,78,84,63,84,65,75,84,69,82,114,942,78.5
內湖區,175,200,206,198,153,208,166,178,179,189,180,235,2267,188.91666666666666
士林區,156,185,180,181,139,177,145,131,171,164,174,206,2009,167.41666666666666
北投區,165,161,178,148,132,185,139,147,165,138,157,210,1925,160.41666666666666
