"統計期","學制別","總計[人]","升學/合計[人]","升學/大學校院[人]","升學/專科學校[人]","升學/高中或高職[人]","升學/師專師院[人]","升學/軍警學校[人]","升學/其他[人]","就業/合計[人]","就業/農林漁牧狩獵業[人]","就業/礦業及土石採取業[人]","就業/製造業或營造業[人]","就業/水電燃氣業[人]","就業/批發零售及餐飲業[人]","就業/金融保險不動產及租賃業[人]","就業/運輸倉儲通信業[人]","就業/社會及個人服務業[人]","就業/其他[人]","閒居[人]","其他[人]"
"57學年","總計",34446,25910,0,9598,14577,195,341,1199,6195,67,576,0,0,4566,0,0,315,671,1427,914
"57學年","高中(職)",13914,7438,0,6589,0,9,234,606,4762,27,227,0,0,3791,0,0,224,493,1174,540
"57學年","初中(職)",20532,18472,0,3009,14577,186,107,593,1433,40,349,0,0,775,0,0,91,178,253,374
"57學年","高級中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57學年","高級職業學校",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58學年","總計",41640,30068,0,8636,18846,255,468,1863,8905,162,1996,0,0,4774,0,0,230,1743,1199,1468
"58學年","高中(職)",14759,6754,0,6022,0,32,332,368,5919,89,1374,0,0,3558,0,0,137,761,877,1209
"58學年","初中(職)",26881,23314,0,2614,18846,223,136,1495,2986,73,622,0,0,1216,0,0,93,982,322,259
"58學年","高級中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58學年","高級職業學校",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59學年","總計",52318,34632,0,12093,19926,488,997,1128,12896,245,3387,0,0,7319,0,0,296,1649,2036,2754
"59學年","高中(職)",18797,7779,0,6609,0,19,564,587,8123,71,1324,0,0,5827,0,0,240,661,1566,1329
"59學年","初中(職)",2340,1944,0,101,1750,6,51,36,256,3,104,0,0,136,0,0,1,12,87,53
"59學年","高級中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59學年","高級職業學校",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59學年","國民中學",31181,24909,0,5383,18176,463,382,505,4517,171,1959,0,0,1356,0,0,55,976,383,1372
"60學年","總計",54399,35790,0,13205,19740,266,586,1993,14126,285,4384,0,0,6913,0,0,373,2171,2082,2401
"60學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60學年","高級中學",10911,7908,0,6866,0,0,250,792,1695,56,252,0,0,672,0,0,79,636,546,762
"60學年","高級職業學校",9879,562,0,293,0,0,153,116,7311,69,1900,0,0,4563,0,0,239,540,1303,703
"60學年","國民中學",33609,27320,0,6046,19740,266,183,1085,5120,160,2232,0,0,1678,0,0,55,995,233,936
"61學年","總計",61887,39783,0,16295,19751,262,1097,2378,15894,283,5240,0,0,7362,0,0,626,2383,1994,4216
"61學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61學年","高級中學",13767,10189,0,8507,0,2,771,909,2316,76,497,0,0,1134,0,0,111,498,273,989
"61學年","高級職業學校",11983,561,0,445,0,1,86,29,8064,24,1987,0,0,4449,0,0,375,1229,1291,2067
"61學年","國民中學",36137,29033,0,7343,19751,259,240,1440,5514,183,2756,0,0,1779,0,0,140,656,430,1160
"62學年","總計",62556,40093,0,16147,19652,298,1041,2955,16418,297,5611,0,0,7325,0,0,566,2619,1560,4485
"62學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62學年","高級中學",12949,9829,0,7868,0,2,702,1257,1981,81,501,0,0,982,0,0,106,311,153,986
"62學年","高級職業學校",11649,572,0,436,0,1,92,43,8214,18,2092,0,0,4512,0,0,313,1279,881,1982
"62學年","國民中學",37958,29692,0,7843,19652,295,247,1655,6223,198,3018,0,0,1831,0,0,147,1029,526,1517
"63學年","總計",62783,37599,0,12052,21823,215,810,2699,16630,161,6154,0,0,7118,0,0,332,2865,4281,4273
"63學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63學年","高級中學",12393,8499,0,7519,0,4,272,704,1402,24,353,0,0,602,0,0,64,359,1312,1180
"63學年","高級職業學校",12130,657,0,510,0,0,98,49,9364,85,3802,0,0,4445,0,0,222,810,1405,704
"63學年","國民中學",38260,28443,0,4023,21823,211,440,1946,5864,52,1999,0,0,2071,0,0,46,1696,1564,2389
"64學年","總計",68432,40271,0,14780,21251,241,1004,2995,18351,183,6545,0,0,8016,0,0,391,3216,4914,4896
"64學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64學年","高級中學",12966,8702,0,7562,0,0,399,741,1545,27,396,0,0,646,0,0,92,384,1437,1282
"64學年","高級職業學校",14821,1073,0,895,0,0,80,98,10743,91,4134,0,0,5161,0,0,253,1104,1876,1129
"64學年","國民中學",40645,30496,0,6323,21251,241,525,2156,6063,65,2015,0,0,2209,0,0,46,1728,1601,2485
"65學年","總計",68731,41389,0,13539,23720,95,799,3236,19853,258,6300,0,0,10020,0,0,481,2794,2606,4883
"65學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65學年","高級中學",11884,8455,0,7669,0,14,276,496,1310,28,280,0,0,581,0,0,72,349,600,1519
"65學年","高級職業學校",15388,1412,0,1108,0,0,158,146,11807,42,2522,0,0,7381,0,0,395,1467,963,1206
