"統計期","十五歲以上民間人口[千人]","勞動力人口/合計[千人]","勞動力人口/就業者[千人]","勞動力人口/失業者[千人]","非勞動力人口[千人]","勞動力參與率[%]","失業率[%]","就業結構/農業人數[千人]","就業結構/農業占就業者人數[%]","就業結構/工業人數[千人]","就業結構/工業占就業者人數[%]","就業結構/服務業人數[千人]","就業結構/服務業占就業者人數[%]","就業者教育程度/大專以上人數[千人]","就業者教育程度/大專以上占就業者人數[%]","就業者教育程度/高中職人數[千人]","就業者教育程度/高中職占就業者人數[%]","就業者教育程度/國中以下人數[千人]","就業者教育程度/國中以下占就業者人數[%]"
"94上半年",2126,1176,1130,46,950,55.3,3.9,2,0.18,221,19.56,907,80.27,677,59.91,338,29.91,116,10.27
"94下半年",2130,1186,1140,47,944,55.7,3.9,2,0.18,217,19.04,920,80.70,694,60.88,336,29.47,111,9.74
"95上半年",2141,1177,1134,43,964,55.0,3.6,2,0.18,221,19.49,910,80.25,714,62.96,311,27.43,109,9.61
"95下半年",2157,1197,1152,46,960,55.5,3.8,2,0.17,223,19.36,926,80.38,737,63.98,315,27.34,101,8.77
"96上半年",2168,1203,1160,44,964,55.5,3.6,2,0.17,219,18.88,939,80.95,738,63.62,311,26.81,111,9.57
"96下半年",2175,1216,1170,46,960,55.9,3.8,3,0.26,226,19.32,940,80.34,764,65.30,307,26.24,98,8.38
"97上半年",2186,1227,1182,46,959,56.1,3.7,2,0.17,220,18.61,959,81.13,780,65.99,301,25.47,101,8.54
"97下半年",2188,1237,1183,54,952,56.5,4.3,3,0.25,224,18.93,956,80.81,793,67.03,292,24.68,98,8.28
"98上半年",2193,1230,1160,70,963,56.1,5.7,2,0.17,227,19.57,931,80.26,788,67.93,285,24.57,87,7.50
"98下半年",2193,1249,1175,74,944,57.0,5.9,2,0.17,223,18.98,950,80.85,800,68.09,279,23.74,96,8.17
"99上半年",2195,1232,1164,68,964,56.1,5.5,1,0.09,237,20.36,926,79.55,808,69.42,273,23.45,83,7.13
"99下半年",2206,1245,1183,62,961,56.4,5.0,3,0.25,215,18.17,965,81.57,833,70.41,270,22.82,81,6.85
"100上半年",2228,1251,1194,57,978,56.1,4.5,2,0.17,239,20.02,953,79.82,843,70.60,270,22.61,81,6.78
"100下半年",2245,1276,1220,56,969,56.8,4.4,5,0.41,223,18.28,992,81.31,881,72.21,265,21.72,74,6.07
"101上半年",2261,1264,1211,53,997,55.9,4.2,5,0.41,235,19.41,972,80.26,884,73.00,255,21.06,72,5.95
"101下半年",2271,1292,1236,56,979,56.9,4.3,4,0.32,225,18.20,1007,81.47,909,73.54,263,21.28,64,5.18
"102上半年",2283,1297,1242,55,986,56.8,4.2,3,0.24,235,18.92,1004,80.84,938,75.52,245,19.73,60,4.83
"102下半年",2288,1299,1245,54,989,56.8,4.2,3,0.24,245,19.68,998,80.16,954,76.63,239,19.20,52,4.18
"103上半年",2296,1310,1259,52,986,57.1,4.0,1,0.08,232,18.43,1026,81.49,978,77.68,231,18.35,49,3.89
"103下半年",2302,1319,1266,53,983,57.3,4.0,2,0.16,243,19.19,1020,80.57,1005,79.38,220,17.38,41,3.24
