年別,行業,所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],[1]農業淨收入[NT],[2]營業淨收入[NT],[3]執行業務淨收入[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]可支配所得[NT]
98年,總平均,1572205,874274,523023,384362,35379,103282,102789,34,95400,7354,68993,65245,114090,65147,18641,28518,1133,651,135,151706,13059,138647,48998,31606,53520,4523,722568
98年,農林漁牧業,1923,618847,183657,181119,-,2538,27802,27802,-,-,258660,59882,88847,30052,43502,15293,-,-,-,99835,-,99835,47586,25923,24535,1790,519012
98年,工業,258150,971578,683899,534587,336,148976,88987,-,87059,1928,45383,66906,86257,41283,16204,28233,537,-,146,181316,14112,167203,56957,39894,68180,2172,790263
98年,批發及零售業,297197,851958,475836,387149,658,88029,188482,-,185985,2496,46670,64357,76445,36750,13820,23133,351,2391,168,147465,13775,133689,43727,27280,56405,6277,704493
98年,運輸及倉儲業,66413,879262,568089,458256,879,108955,137829,-,137829,-,27890,63188,82239,44090,14458,23547,144,-,26,166551,10801,155750,54150,36201,59485,5914,712711
98年,住宿及餐飲業,72306,645197,300514,256377,2503,41633,200782,-,200782,-,26416,42268,74991,34561,20400,19373,645,12,225,97382,8747,88636,31397,14065,41457,1717,547814
98年,出版影音及資通訊業,54480,1032709,767400,584172,-,183228,68456,-,59423,9033,65531,69444,61801,22325,11964,26881,631,-,77,227524,26048,201476,64316,54637,75582,6941,805185
98年,金融及保險業,102240,1092435,896180,661405,40606,194168,16619,-,-,16619,54521,60231,64836,26102,12053,26645,36,-,49,201181,13082,188100,56977,49060,77993,4070,891254
98年,不動產業,16765,986389,759838,578425,-,181414,64578,-,64578,-,51443,58766,51718,15308,13313,23097,-,-,45,193120,33647,159473,51891,38086,68882,615,793268
98年,專業、科學及技術服務業,64857,1142727,757244,598956,-,158288,124955,-,72974,51980,114184,70016,76278,23274,12637,32029,8336,-,50,232683,13440,219244,70373,70453,77970,447,910044
